Metro,Date,ZORI,ZHVI,Income,Population,AffordabilityRatio
"Pueblo, CO",2024-04-30,1356.3329553405097,294366.6815005088,65161.0,169422.0,4.517528606075855
"Grand Junction, CO",2024-04-30,1600.886366717042,408789.2761061178,64722.0,159681.0,6.3160791710101325
"Colorado Springs, CO",2024-05-31,1851.1772732128293,474617.99618773325,89792.0,768832.0,5.285749244784983
"Boulder, CO",2024-05-31,2325.563762739257,763381.5741356352,95363.0,326831.0,8.005007960483994
"Pueblo, CO",2024-05-31,1371.5520075822471,294938.4252623155,65161.0,169422.0,4.526302930622849
"Grand Junction, CO",2024-05-31,1615.1699711607416,410953.9994024485,64722.0,159681.0,6.349525654374841
"Colorado Springs, CO",2024-06-30,1863.328611995286,474754.9122529904,89792.0,768832.0,5.287274058412669
"Boulder, CO",2024-06-30,2348.4983915554653,760899.856002823,95363.0,326831.0,7.97898405044748
"Pueblo, CO",2024-06-30,1381.871653593633,295235.79541312164,65161.0,169422.0,4.53086655228007
"Grand Junction, CO",2024-06-30,1627.4699735556237,412573.44612289895,64722.0,159681.0,6.374547234679073
"Colorado Springs, CO",2024-07-31,1874.1336345114405,475015.9663049032,89792.0,768832.0,5.290181378128377
"Boulder, CO",2024-07-31,2364.6082769628524,758379.8183617815,95363.0,326831.0,7.952558312571768
"Pueblo, CO",2024-07-31,1394.9423509305147,295277.00271278544,65161.0,169422.0,4.5314989443499245
"Grand Junction, CO",2024-07-31,1646.8681991163269,414062.47387542645,64722.0,159681.0,6.397553751049511
"Colorado Springs, CO",2024-08-31,1872.509263663116,475466.5705353163,89792.0,768832.0,5.295199689675209
"Boulder, CO",2024-08-31,2373.735563388913,757027.9529354979,95363.0,326831.0,7.938382317413439
"Pueblo, CO",2024-08-31,1391.5524896664176,295419.22481299686,65161.0,169422.0,4.533681570463879
"Grand Junction, CO",2024-08-31,1655.5630218681974,415547.316079852,64722.0,159681.0,6.420495597785173
"Colorado Springs, CO",2024-09-30,1869.8421801625364,476059.478730277,89792.0,768832.0,5.301802819073826
"Boulder, CO",2024-09-30,2351.7790005518527,757656.4202770506,95363.0,326831.0,7.9449725813685665
"Pueblo, CO",2024-09-30,1371.5062298113553,295747.14930578513,65161.0,169422.0,4.538714097478325
"Grand Junction, CO",2024-09-30,1674.310149478333,417307.80451284366,64722.0,159681.0,6.447696370829759
"Colorado Springs, CO",2024-10-31,1862.667494040024,476480.1244517951,89792.0,768832.0,5.306487487212615
"Boulder, CO",2024-10-31,2363.4852198689,758462.3656263066,95363.0,326831.0,7.953423923600417
"Pueblo, CO",2024-10-31,1364.117030986412,296069.1992889393,65161.0,169422.0,4.5436564707254234
"Grand Junction, CO",2024-10-31,1662.421470215535,419152.9265995619,64722.0,159681.0,6.476204792799386
"Colorado Springs, CO",2024-11-30,1856.036500646656,476882.03581662505,89792.0,768832.0,5.310963513638465
"Boulder, CO",2024-11-30,2369.8200926193904,759931.2901980957,95363.0,326831.0,7.968827429905684
