Metro,Date,ZHVI
"Fort Collins, CO",2000-07-31,201867.37842003975
"Boulder, CO",2000-07-31,247364.08447134736
"Greeley, CO",2000-07-31,178772.07531955466
"Pueblo, CO",2000-07-31,110202.20233418232
"Grand Junction, CO",2000-07-31,140886.67426061432
"Glenwood Springs, CO",2000-07-31,207722.8622090631
"Edwards, CO",2000-07-31,329282.2339784615
"Durango, CO",2000-07-31,
"Ca-¦on City, CO",2000-07-31,
"Montrose, CO",2000-07-31,129838.23986619466
"Breckenridge, CO",2000-07-31,
"Fort Morgan, CO",2000-07-31,
"Steamboat Springs, CO",2000-07-31,238163.0412102467
"Sterling, CO",2000-07-31,95549.79781920848
"Craig, CO",2000-07-31,103003.49840215249
"Denver, CO",2000-08-31,208387.81103287477
"Colorado Springs, CO",2000-08-31,171484.09626441964
"Fort Collins, CO",2000-08-31,203635.27995178368
"Boulder, CO",2000-08-31,252050.96070013044
"Greeley, CO",2000-08-31,180230.93368153195
"Pueblo, CO",2000-08-31,110706.93766182689
"Grand Junction, CO",2000-08-31,141488.10364709244
"Glenwood Springs, CO",2000-08-31,210011.4067241347
"Edwards, CO",2000-08-31,331803.61417657015
"Durango, CO",2000-08-31,
"Ca-¦on City, CO",2000-08-31,
"Montrose, CO",2000-08-31,130586.18698393322
"Breckenridge, CO",2000-08-31,
"Fort Morgan, CO",2000-08-31,
"Steamboat Springs, CO",2000-08-31,240422.932795174
"Sterling, CO",2000-08-31,96107.2085658588
"Craig, CO",2000-08-31,104000.26916161702
"Denver, CO",2000-09-30,211046.81297270293
"Colorado Springs, CO",2000-09-30,172655.1907035164
"Fort Collins, CO",2000-09-30,205514.39137708515
"Boulder, CO",2000-09-30,256677.1334801345
"Greeley, CO",2000-09-30,181837.2892246924
"Pueblo, CO",2000-09-30,111156.90985577735
"Grand Junction, CO",2000-09-30,142072.37518412792
"Glenwood Springs, CO",2000-09-30,212352.9556229268
"Edwards, CO",2000-09-30,334157.7311302672
"Durango, CO",2000-09-30,
"Ca-¦on City, CO",2000-09-30,
"Montrose, CO",2000-09-30,131403.83059024243
"Breckenridge, CO",2000-09-30,
"Fort Morgan, CO",2000-09-30,
"Steamboat Springs, CO",2000-09-30,242344.61836835596
"Sterling, CO",2000-09-30,96586.01544457546
"Craig, CO",2000-09-30,104531.56059876214
"Denver, CO",2000-10-31,213712.0807176768
"Colorado Springs, CO",2000-10-31,173744.21860668578
"Fort Collins, CO",2000-10-31,207665.3188323862
"Boulder, CO",2000-10-31,261071.0868136379
"Greeley, CO",2000-10-31,183760.94920720265
"Pueblo, CO",2000-10-31,111486.09306755471
"Grand Junction, CO",2000-10-31,142766.27111581535
"Glenwood Springs, CO",2000-10-31,214755.93844812107
"Edwards, CO",2000-10-31,334994.5442601808
"Durango, CO",2000-10-31,
"Ca-¦on City, CO",2000-10-31,
"Montrose, CO",2000-10-31,132313.2616595376
"Breckenridge, CO",2000-10-31,
"Fort Morgan, CO",2000-10-31,
"Steamboat Springs, CO",2000-10-31,244169.23091167095
"Sterling, CO",2000-10-31,97101.90392783172
"Craig, CO",2000-10-31,104479.28957171943
"Denver, CO",2000-11-30,216370.80727667152
"Colorado Springs, CO",2000-11-30,174889.36267755044
"Fort Collins, CO",2000-11-30,209639.22193702904
"Boulder, CO",2000-11-30,264410.6454394702
"Greeley, CO",2000-11-30,185442.08852834007
"Pueblo, CO",2000-11-30,111797.24404966214
"Grand Junction, CO",2000-11-30,143348.25485059657
"Glenwood Springs, CO",2000-11-30,216797.53833833928
"Edwards, CO",2000-11-30,334958.253452217
"Durango, CO",2000-11-30,
"Ca-¦on City, CO",2000-11-30,
"Montrose, CO",2000-11-30,133210.7782059781
"Breckenridge, CO",2000-11-30,
"Fort Morgan, CO",2000-11-30,
"Steamboat Springs, CO",2000-11-30,245995.3009709924
"Sterling, CO",2000-11-30,97763.61195053272
"Craig, CO",2000-11-30,105025.59823131224
"Denver, CO",2000-12-31,218900.17819017777
"Colorado Springs, CO",2000-12-31,176046.79753293013
"Fort Collins, CO",2000-12-31,211559.95683242116
"Boulder, CO",2000-12-31,267259.53464550263
"Greeley, CO",2000-12-31,186737.89552457604
"Pueblo, CO",2000-12-31,112153.2509063863
"Grand Junction, CO",2000-12-31,143948.11671151678
"Glenwood Springs, CO",2000-12-31,218935.83453092384
"Edwards, CO",2000-12-31,334662.99745764263
"Durango, CO",2000-12-31,
"Ca-¦on City, CO",2000-12-31,
"Montrose, CO",2000-12-31,134067.20328834225
"Breckenridge, CO",2000-12-31,
"Fort Morgan, CO",2000-12-31,
"Steamboat Springs, CO",2000-12-31,247976.95017771376
"Sterling, CO",2000-12-31,98528.76428503428
"Craig, CO",2000-12-31,106034.69188518851
"Denver, CO",2001-01-31,221448.53715482136
"Colorado Springs, CO",2001-01-31,177251.77272002737
"Fort Collins, CO",2001-01-31,213417.48794120704
"Boulder, CO",2001-01-31,269610.1610064532
"Greeley, CO",2001-01-31,187957.49339189567
"Pueblo, CO",2001-01-31,112572.472537071
"Grand Junction, CO",2001-01-31,144547.23251806415
"Glenwood Springs, CO",2001-01-31,220844.93612188532
"Edwards, CO",2001-01-31,335460.1465336102
"Durango, CO",2001-01-31,
"Ca-¦on City, CO",2001-01-31,
"Montrose, CO",2001-01-31,135029.59749143664
"Breckenridge, CO",2001-01-31,
"Fort Morgan, CO",2001-01-31,
"Steamboat Springs, CO",2001-01-31,249800.94729101352
"Sterling, CO",2001-01-31,99342.35155758409
"Craig, CO",2001-01-31,107021.246171025
"Denver, CO",2001-02-28,223790.41727445417
"Colorado Springs, CO",2001-02-28,178417.91744477276
"Fort Collins, CO",2001-02-28,215174.84962175312
"Boulder, CO",2001-02-28,272163.5018596195
"Greeley, CO",2001-02-28,189095.6040661808
"Pueblo, CO",2001-02-28,112950.11054573668
"Grand Junction, CO",2001-02-28,145173.1905562797
"Glenwood Springs, CO",2001-02-28,222692.60420314167
"Edwards, CO",2001-02-28,337064.04224192543
"Durango, CO",2001-02-28,
"Ca-¦on City, CO",2001-02-28,
"Montrose, CO",2001-02-28,136005.59774403484
"Breckenridge, CO",2001-02-28,
"Fort Morgan, CO",2001-02-28,
"Steamboat Springs, CO",2001-02-28,251577.1311056897
"Sterling, CO",2001-02-28,100096.30585860676
"Craig, CO",2001-02-28,107404.97421269507
"Denver, CO",2001-03-31,226157.47994456225
"Colorado Springs, CO",2001-03-31,179627.26779465887
"Fort Collins, CO",2001-03-31,216944.8115894393
"Boulder, CO",2001-03-31,275045.7209683861
"Greeley, CO",2001-03-31,190584.64574873145
"Pueblo, CO",2001-03-31,113101.53178540406
"Grand Junction, CO",2001-03-31,145896.43528236952
"Glenwood Springs, CO",2001-03-31,224249.1771645424
"Edwards, CO",2001-03-31,338589.5477945624
"Durango, CO",2001-03-31,
"Ca-¦on City, CO",2001-03-31,
"Montrose, CO",2001-03-31,136971.46774602684
"Breckenridge, CO",2001-03-31,
"Fort Morgan, CO",2001-03-31,
"Steamboat Springs, CO",2001-03-31,253428.3413997559
"Sterling, CO",2001-03-31,100771.82620675128
"Craig, CO",2001-03-31,107785.32828573046
"Denver, CO",2001-04-30,228449.77802425032
"Colorado Springs, CO",2001-04-30,180847.28217505777
"Fort Collins, CO",2001-04-30,218687.44128678087
"Boulder, CO",2001-04-30,278195.4407726747
"Greeley, CO",2001-04-30,192011.90980563188
"Pueblo, CO",2001-04-30,113154.4031787227
"Grand Junction, CO",2001-04-30,146592.29823939534
"Glenwood Springs, CO",2001-04-30,225648.4726500728
"Edwards, CO",2001-04-30,339756.952640214
"Durango, CO",2001-04-30,
"Ca-¦on City, CO",2001-04-30,
"Montrose, CO",2001-04-30,137773.7571560051
"Breckenridge, CO",2001-04-30,
"Fort Morgan, CO",2001-04-30,
"Steamboat Springs, CO",2001-04-30,255399.1225360489
"Sterling, CO",2001-04-30,101157.2853711092
"Craig, CO",2001-04-30,108473.556732991
"Denver, CO",2001-05-31,230619.6962857903
"Colorado Springs, CO",2001-05-31,182286.54047000615
"Fort Collins, CO",2001-05-31,220621.02449914225
"Boulder, CO",2001-05-31,281872.3373869501
"Greeley, CO",2001-05-31,193634.087339888
"Pueblo, CO",2001-05-31,113117.25176463596
"Grand Junction, CO",2001-05-31,147329.34010524614
"Glenwood Springs, CO",2001-05-31,226977.9634138849
"Edwards, CO",2001-05-31,340357.5430090349
"Durango, CO",2001-05-31,
"Ca-¦on City, CO",2001-05-31,
"Montrose, CO",2001-05-31,138529.73160233535
"Breckenridge, CO",2001-05-31,
"Fort Morgan, CO",2001-05-31,
"Steamboat Springs, CO",2001-05-31,257266.2225853042
"Sterling, CO",2001-05-31,101611.38734411332
"Craig, CO",2001-05-31,109501.55445269874
"Denver, CO",2001-06-30,232375.138055034
"Colorado Springs, CO",2001-06-30,183790.3562682971
"Fort Collins, CO",2001-06-30,222685.5035732037
"Boulder, CO",2001-06-30,285607.02943524503
"Greeley, CO",2001-06-30,194987.47804735295
"Pueblo, CO",2001-06-30,113157.18816128316
"Grand Junction, CO",2001-06-30,147943.08899078672
"Glenwood Springs, CO",2001-06-30,228069.45831848565
"Edwards, CO",2001-06-30,340481.209768871
"Durango, CO",2001-06-30,
"Ca-¦on City, CO",2001-06-30,
"Montrose, CO",2001-06-30,139237.3759945881
"Breckenridge, CO",2001-06-30,
"Fort Morgan, CO",2001-06-30,
"Steamboat Springs, CO",2001-06-30,258876.61126688044
