Metro,Date,ZHVI
"Montrose, CO",2005-04-30,162438.7123068125
"Breckenridge, CO",2005-04-30,329288.88169760705
"Fort Morgan, CO",2005-04-30,
"Steamboat Springs, CO",2005-04-30,303305.8306487497
"Sterling, CO",2005-04-30,111481.12614920372
"Craig, CO",2005-04-30,135840.9884573758
"Denver, CO",2005-05-31,257990.36086966525
"Colorado Springs, CO",2005-05-31,216458.17880261183
"Fort Collins, CO",2005-05-31,254576.9835997664
"Boulder, CO",2005-05-31,309473.45631431096
"Greeley, CO",2005-05-31,222604.0531376336
"Pueblo, CO",2005-05-31,128043.68967712538
"Grand Junction, CO",2005-05-31,193061.37107672365
"Glenwood Springs, CO",2005-05-31,263445.3772245293
"Edwards, CO",2005-05-31,411435.81335399766
"Durango, CO",2005-05-31,
"Ca-¦on City, CO",2005-05-31,
"Montrose, CO",2005-05-31,163409.1976519276
"Breckenridge, CO",2005-05-31,331455.0921690743
"Fort Morgan, CO",2005-05-31,
"Steamboat Springs, CO",2005-05-31,304952.84278410126
"Sterling, CO",2005-05-31,111650.23329656686
"Craig, CO",2005-05-31,137412.59413589977
"Denver, CO",2005-06-30,258371.34528578157
"Colorado Springs, CO",2005-06-30,217794.70746856192
"Fort Collins, CO",2005-06-30,255056.8723759669
"Boulder, CO",2005-06-30,311833.79599290533
"Greeley, CO",2005-06-30,222605.0428209422
"Pueblo, CO",2005-06-30,128547.6428781512
"Grand Junction, CO",2005-06-30,194282.27086924893
"Glenwood Springs, CO",2005-06-30,265114.2411717085
"Edwards, CO",2005-06-30,418837.3185900731
"Durango, CO",2005-06-30,
"Ca-¦on City, CO",2005-06-30,
"Montrose, CO",2005-06-30,164389.26156252218
"Breckenridge, CO",2005-06-30,333667.3257116572
"Fort Morgan, CO",2005-06-30,
"Steamboat Springs, CO",2005-06-30,306685.549109814
"Sterling, CO",2005-06-30,111998.64319286575
"Craig, CO",2005-06-30,138903.9044008518
"Denver, CO",2005-07-31,258810.3037169866
"Colorado Springs, CO",2005-07-31,219064.1813017082
"Fort Collins, CO",2005-07-31,255068.4683730408
"Boulder, CO",2005-07-31,312786.21292844025
"Greeley, CO",2005-07-31,222417.7852346802
"Pueblo, CO",2005-07-31,128987.21993384784
"Grand Junction, CO",2005-07-31,195718.7148350162
"Glenwood Springs, CO",2005-07-31,266964.3070111281
"Edwards, CO",2005-07-31,428053.17980343226
"Durango, CO",2005-07-31,
"Ca-¦on City, CO",2005-07-31,
"Montrose, CO",2005-07-31,165321.3687425195
"Breckenridge, CO",2005-07-31,336308.39732209226
"Fort Morgan, CO",2005-07-31,
"Steamboat Springs, CO",2005-07-31,308558.6155031212
"Sterling, CO",2005-07-31,112431.5543179162
"Craig, CO",2005-07-31,140512.37662150458
"Denver, CO",2005-08-31,259158.49145307575
"Colorado Springs, CO",2005-08-31,220383.90228828663
"Fort Collins, CO",2005-08-31,255401.56228416003
"Boulder, CO",2005-08-31,313327.0663087096
"Greeley, CO",2005-08-31,222498.4842691842
"Pueblo, CO",2005-08-31,129568.47714684356
"Grand Junction, CO",2005-08-31,197368.0326386545
"Glenwood Springs, CO",2005-08-31,268860.63245071174
"Edwards, CO",2005-08-31,437726.5930489199
"Durango, CO",2005-08-31,
"Ca-¦on City, CO",2005-08-31,
"Montrose, CO",2005-08-31,166265.18410922823
"Breckenridge, CO",2005-08-31,342336.7866982697
"Fort Morgan, CO",2005-08-31,
"Steamboat Springs, CO",2005-08-31,310438.7309099304
"Sterling, CO",2005-08-31,112842.45616683611
"Craig, CO",2005-08-31,141923.88551156994
"Denver, CO",2005-09-30,259443.390693445
"Colorado Springs, CO",2005-09-30,221736.90155338545
"Fort Collins, CO",2005-09-30,255632.9775628573
"Boulder, CO",2005-09-30,313591.4549478512
"Greeley, CO",2005-09-30,222754.8830879227
"Pueblo, CO",2005-09-30,130195.79369834106
"Grand Junction, CO",2005-09-30,199112.47100538257
"Glenwood Springs, CO",2005-09-30,271233.7359404648
"Edwards, CO",2005-09-30,446833.3233262143
"Durango, CO",2005-09-30,
"Ca-¦on City, CO",2005-09-30,
"Montrose, CO",2005-09-30,
"Breckenridge, CO",2005-09-30,
"Fort Morgan, CO",2005-09-30,
"Steamboat Springs, CO",2005-09-30,312251.6037564499
"Sterling, CO",2005-09-30,113170.71163254448
"Craig, CO",2005-09-30,143212.41348110026
"Denver, CO",2005-10-31,259810.52789050387
"Colorado Springs, CO",2005-10-31,222876.0136148682
"Fort Collins, CO",2005-10-31,256089.0830884945
"Boulder, CO",2005-10-31,314790.8025090821
"Greeley, CO",2005-10-31,223031.99020104032
"Pueblo, CO",2005-10-31,130838.74978565192
"Grand Junction, CO",2005-10-31,200878.30748817968
"Glenwood Springs, CO",2005-10-31,273999.2833747457
"Edwards, CO",2005-10-31,455232.35050674825
"Durango, CO",2005-10-31,
"Ca-¦on City, CO",2005-10-31,
"Montrose, CO",2005-10-31,
"Breckenridge, CO",2005-10-31,357118.9478814488
"Fort Morgan, CO",2005-10-31,
"Steamboat Springs, CO",2005-10-31,314020.81415371806
"Sterling, CO",2005-10-31,113431.27966036528
"Craig, CO",2005-10-31,144093.12603839955
"Denver, CO",2005-11-30,260179.08588954943
"Colorado Springs, CO",2005-11-30,223701.3048822228
"Fort Collins, CO",2005-11-30,256514.4058995645
"Boulder, CO",2005-11-30,316023.30943234387
"Greeley, CO",2005-11-30,223018.84401522065
"Pueblo, CO",2005-11-30,131410.0158669886
"Grand Junction, CO",2005-11-30,202726.20099407804
"Glenwood Springs, CO",2005-11-30,276675.42367066507
"Edwards, CO",2005-11-30,464070.7544638948
"Durango, CO",2005-11-30,
"Ca-¦on City, CO",2005-11-30,
"Montrose, CO",2005-11-30,
"Breckenridge, CO",2005-11-30,361641.0560484461
"Fort Morgan, CO",2005-11-30,
"Steamboat Springs, CO",2005-11-30,315393.67530017626
"Sterling, CO",2005-11-30,113593.23089378743
"Craig, CO",2005-11-30,144796.66288787505
"Denver, CO",2005-12-31,260652.61211477697
"Colorado Springs, CO",2005-12-31,224463.70110372052
"Fort Collins, CO",2005-12-31,257165.92016789783
"Boulder, CO",2005-12-31,316278.18132123654
"Greeley, CO",2005-12-31,222853.1304174316
"Pueblo, CO",2005-12-31,131862.2022015002
"Grand Junction, CO",2005-12-31,204901.7693259761
"Glenwood Springs, CO",2005-12-31,279195.2744275771
"Edwards, CO",2005-12-31,472704.123527443
"Durango, CO",2005-12-31,
"Ca-¦on City, CO",2005-12-31,
"Montrose, CO",2005-12-31,
"Breckenridge, CO",2005-12-31,364790.4496147388
"Fort Morgan, CO",2005-12-31,
"Steamboat Springs, CO",2005-12-31,
"Sterling, CO",2005-12-31,113791.0828768224
"Craig, CO",2005-12-31,145280.78264811923
"Denver, CO",2006-01-31,261118.36286528656
"Colorado Springs, CO",2006-01-31,225092.7680084365
"Fort Collins, CO",2006-01-31,258457.7973418757
"Boulder, CO",2006-01-31,315978.3255882453
"Greeley, CO",2006-01-31,222707.16824175697
"Pueblo, CO",2006-01-31,132280.3502489665
"Grand Junction, CO",2006-01-31,207406.18511637129
"Glenwood Springs, CO",2006-01-31,281220.78770415764
"Edwards, CO",2006-01-31,480885.2303705499
"Durango, CO",2006-01-31,
"Ca-¦on City, CO",2006-01-31,
"Montrose, CO",2006-01-31,183617.9172751196
"Breckenridge, CO",2006-01-31,367562.43308779295
"Fort Morgan, CO",2006-01-31,
"Steamboat Springs, CO",2006-01-31,
"Sterling, CO",2006-01-31,113975.70911549272
"Craig, CO",2006-01-31,145575.38749943636
"Denver, CO",2006-02-28,261368.3338899437
"Colorado Springs, CO",2006-02-28,225491.4655144528
"Fort Collins, CO",2006-02-28,259011.87431811835
"Boulder, CO",2006-02-28,316355.73129235586
"Greeley, CO",2006-02-28,222714.42455337764
"Pueblo, CO",2006-02-28,132728.6439741687
"Grand Junction, CO",2006-02-28,209725.36736240043
"Glenwood Springs, CO",2006-02-28,283656.9350222872
"Edwards, CO",2006-02-28,487849.0367061645
"Durango, CO",2006-02-28,
"Ca-¦on City, CO",2006-02-28,
"Montrose, CO",2006-02-28,185051.74769946645
"Breckenridge, CO",2006-02-28,369374.68805361446
"Fort Morgan, CO",2006-02-28,
"Steamboat Springs, CO",2006-02-28,
"Sterling, CO",2006-02-28,114234.59276882226
"Craig, CO",2006-02-28,145886.64668291292
"Denver, CO",2006-03-31,261598.70237623263
"Colorado Springs, CO",2006-03-31,225911.0065272228
"Fort Collins, CO",2006-03-31,258577.46376072013
"Boulder, CO",2006-03-31,317052.32975387864
"Greeley, CO",2006-03-31,222640.3888813624
"Pueblo, CO",2006-03-31,133189.99776276952
"Grand Junction, CO",2006-03-31,211885.0332844253
"Glenwood Springs, CO",2006-03-31,285717.6675506378
"Edwards, CO",2006-03-31,495073.24065670697
"Durango, CO",2006-03-31,
"Ca-¦on City, CO",2006-03-31,
"Montrose, CO",2006-03-31,187033.06441471132
"Breckenridge, CO",2006-03-31,370913.6862898075
"Fort Morgan, CO",2006-03-31,
"Steamboat Springs, CO",2006-03-31,
"Sterling, CO",2006-03-31,114479.59211635291
"Craig, CO",2006-03-31,146203.53199715057
"Denver, CO",2006-04-30,261692.90943609385
"Colorado Springs, CO",2006-04-30,226456.09262223612
"Fort Collins, CO",2006-04-30,257579.0803286724
"Boulder, CO",2006-04-30,318860.9595015584
"Greeley, CO",2006-04-30,222449.057009248
"Pueblo, CO",2006-04-30,133662.71517523224
"Grand Junction, CO",2006-04-30,213758.9872353037
"Glenwood Springs, CO",2006-04-30,287846.44126635697
"Edwards, CO",2006-04-30,503096.3122269909
"Durango, CO",2006-04-30,
"Ca-¦on City, CO",2006-04-30,
"Montrose, CO",2006-04-30,189036.53986497907
"Breckenridge, CO",2006-04-30,372513.1026782529
"Fort Morgan, CO",2006-04-30,
"Steamboat Springs, CO",2006-04-30,341868.82488673675
"Sterling, CO",2006-04-30,114634.73438268936
"Craig, CO",2006-04-30,146801.23411546287
"Denver, CO",2006-05-31,262069.99972529
"Colorado Springs, CO",2006-05-31,227319.60390837735
"Fort Collins, CO",2006-05-31,257326.2560803819
"Boulder, CO",2006-05-31,320515.72221745865
"Greeley, CO",2006-05-31,222647.48554874887
"Pueblo, CO",2006-05-31,134079.45031896976
"Grand Junction, CO",2006-05-31,215778.6099483687
"Glenwood Springs, CO",2006-05-31,289525.6609439432
"Edwards, CO",2006-05-31,512256.5512486323
"Durango, CO",2006-05-31,
"Ca-¦on City, CO",2006-05-31,
"Montrose, CO",2006-05-31,191629.44002407545
"Breckenridge, CO",2006-05-31,374303.06050468114
"Fort Morgan, CO",2006-05-31,
"Steamboat Springs, CO",2006-05-31,339383.633466536
"Sterling, CO",2006-05-31,114705.78484854022
"Craig, CO",2006-05-31,147513.60906491117
"Denver, CO",2006-06-30,262332.94019277324
"Colorado Springs, CO",2006-06-30,228134.90902639527
"Fort Collins, CO",2006-06-30,257555.3388759848
"Boulder, CO",2006-06-30,321947.46398179256
"Greeley, CO",2006-06-30,223077.7847264993
"Pueblo, CO",2006-06-30,134416.1429346243
"Grand Junction, CO",2006-06-30,217837.5458441037
"Glenwood Springs, CO",2006-06-30,291680.2274086407
"Edwards, CO",2006-06-30,520157.59352363646
"Durango, CO",2006-06-30,
"Ca-¦on City, CO",2006-06-30,
"Montrose, CO",2006-06-30,193732.14430963687
"Breckenridge, CO",2006-06-30,376360.38109779166
"Fort Morgan, CO",2006-06-30,
"Steamboat Springs, CO",2006-06-30,334612.3396235791
"Sterling, CO",2006-06-30,114693.33780568016
"Craig, CO",2006-06-30,148406.59297625208
"Denver, CO",2006-07-31,262360.6483313441
"Colorado Springs, CO",2006-07-31,229058.63705081257
"Fort Collins, CO",2006-07-31,257658.2534143829
"Boulder, CO",2006-07-31,321747.7562807861
"Greeley, CO",2006-07-31,223376.2914200679
"Pueblo, CO",2006-07-31,134621.1907246455
"Grand Junction, CO",2006-07-31,220311.12302136456
"Glenwood Springs, CO",2006-07-31,294260.86217772827
"Edwards, CO",2006-07-31,527050.3187342157
"Durango, CO",2006-07-31,
"Ca-¦on City, CO",2006-07-31,
"Montrose, CO",2006-07-31,195908.61150188828
"Breckenridge, CO",2006-07-31,378456.2798719217
"Fort Morgan, CO",2006-07-31,
"Steamboat Springs, CO",2006-07-31,328553.7649298734
"Sterling, CO",2006-07-31,114757.77075533773
"Craig, CO",2006-07-31,149336.00910409554
"Denver, CO",2006-08-31,262345.3603323617
"Colorado Springs, CO",2006-08-31,229913.687344047
"Fort Collins, CO",2006-08-31,257813.41786631703
"Boulder, CO",2006-08-31,321313.8747317689
"Greeley, CO",2006-08-31,223129.00634607556
"Pueblo, CO",2006-08-31,134890.63111713342
"Grand Junction, CO",2006-08-31,223053.4940096465
"Glenwood Springs, CO",2006-08-31,297607.1257394864
"Edwards, CO",2006-08-31,533130.8248417423
"Durango, CO",2006-08-31,
"Ca-¦on City, CO",2006-08-31,
"Montrose, CO",2006-08-31,197601.7004013939
"Breckenridge, CO",2006-08-31,381040.1340036585
"Fort Morgan, CO",2006-08-31,
"Steamboat Springs, CO",2006-08-31,327723.8807711497
"Sterling, CO",2006-08-31,114979.0330800402
"Craig, CO",2006-08-31,150313.39572799578
"Denver, CO",2006-09-30,261940.86204972165
"Colorado Springs, CO",2006-09-30,230577.12668245705
"Fort Collins, CO",2006-09-30,258151.97431404723
"Boulder, CO",2006-09-30,321346.5639948729
"Greeley, CO",2006-09-30,222416.50262257364
"Pueblo, CO",2006-09-30,135231.8291808246
"Grand Junction, CO",2006-09-30,225774.19762983892
"Glenwood Springs, CO",2006-09-30,301056.4309525862
"Edwards, CO",2006-09-30,539997.1038054099
"Durango, CO",2006-09-30,
"Ca-¦on City, CO",2006-09-30,
"Montrose, CO",2006-09-30,199001.60160588776
"Breckenridge, CO",2006-09-30,384764.4050279653
"Fort Morgan, CO",2006-09-30,
"Steamboat Springs, CO",2006-09-30,328580.97680569906
"Sterling, CO",2006-09-30,115300.44246171066
"Craig, CO",2006-09-30,151386.68146499313
"Denver, CO",2006-10-31,261423.77328755276
"Colorado Springs, CO",2006-10-31,230912.6386141481
"Fort Collins, CO",2006-10-31,258246.12168866373
"Boulder, CO",2006-10-31,320884.5440029316
"Greeley, CO",2006-10-31,221444.8158725521
"Pueblo, CO",2006-10-31,135627.00601440927
"Grand Junction, CO",2006-10-31,228243.69055626728
"Glenwood Springs, CO",2006-10-31,304627.8773723947
"Edwards, CO",2006-10-31,547817.6526206065
"Durango, CO",2006-10-31,
"Ca-¦on City, CO",2006-10-31,
"Montrose, CO",2006-10-31,200216.71314748548
"Breckenridge, CO",2006-10-31,388678.2130505352
"Fort Morgan, CO",2006-10-31,
"Steamboat Springs, CO",2006-10-31,330383.10720399435
"Sterling, CO",2006-10-31,115700.92983823684
"Craig, CO",2006-10-31,152491.83584505122
"Denver, CO",2006-11-30,260733.8086567107
"Colorado Springs, CO",2006-11-30,230904.5360466485
"Fort Collins, CO",2006-11-30,257849.6237892169
"Boulder, CO",2006-11-30,319807.0953005113
"Greeley, CO",2006-11-30,220119.2215268525
"Pueblo, CO",2006-11-30,135908.86218583756
"Grand Junction, CO",2006-11-30,230660.8822510119
"Glenwood Springs, CO",2006-11-30,307963.7092137539
"Edwards, CO",2006-11-30,554122.4779992802
"Durango, CO",2006-11-30,
"Ca-¦on City, CO",2006-11-30,
"Montrose, CO",2006-11-30,201138.71047793145
"Breckenridge, CO",2006-11-30,391653.19462254975
"Fort Morgan, CO",2006-11-30,
"Steamboat Springs, CO",2006-11-30,332301.13756148616
"Sterling, CO",2006-11-30,115917.30619895364
"Craig, CO",2006-11-30,153430.04324076747
"Denver, CO",2006-12-31,260356.45658860356
"Colorado Springs, CO",2006-12-31,231042.76823506516
"Fort Collins, CO",2006-12-31,257470.91447473908
"Boulder, CO",2006-12-31,318851.59426846675
"Greeley, CO",2006-12-31,218540.06459844773
"Pueblo, CO",2006-12-31,136155.91758441887
"Grand Junction, CO",2006-12-31,233275.85413649617
"Glenwood Springs, CO",2006-12-31,311125.81514933304
"Edwards, CO",2006-12-31,558823.8415815511
"Durango, CO",2006-12-31,
"Ca-¦on City, CO",2006-12-31,
"Montrose, CO",2006-12-31,202031.8545253808
"Breckenridge, CO",2006-12-31,392677.07639707305
"Fort Morgan, CO",2006-12-31,
"Steamboat Springs, CO",2006-12-31,334054.2112151848
"Sterling, CO",2006-12-31,116073.0699921635
"Craig, CO",2006-12-31,154204.23152988742
"Denver, CO",2007-01-31,260061.5684395953
"Colorado Springs, CO",2007-01-31,231369.6132648152
"Fort Collins, CO",2007-01-31,257035.15684292983
"Boulder, CO",2007-01-31,318884.4283133742
"Greeley, CO",2007-01-31,217027.50276242892
"Pueblo, CO",2007-01-31,136428.120983056
"Grand Junction, CO",2007-01-31,235784.82758216627
"Glenwood Springs, CO",2007-01-31,313808.98085857014
"Edwards, CO",2007-01-31,562607.1207980007
"Durango, CO",2007-01-31,
"Ca-¦on City, CO",2007-01-31,
"Montrose, CO",2007-01-31,202629.68485570504
"Breckenridge, CO",2007-01-31,393429.748387981
"Fort Morgan, CO",2007-01-31,
"Steamboat Springs, CO",2007-01-31,335725.86946285283
"Sterling, CO",2007-01-31,116138.03665663495
"Craig, CO",2007-01-31,154735.64893240214
"Denver, CO",2007-02-28,259432.46840062505
"Colorado Springs, CO",2007-02-28,231945.1713733225
"Fort Collins, CO",2007-02-28,257274.30424868184
"Boulder, CO",2007-02-28,319523.066062893
"Greeley, CO",2007-02-28,215716.21318488548
"Pueblo, CO",2007-02-28,136772.99073582402
"Grand Junction, CO",2007-02-28,238245.95014844285
"Glenwood Springs, CO",2007-02-28,316506.0229545087
"Edwards, CO",2007-02-28,567155.790963625
"Durango, CO",2007-02-28,
"Ca-¦on City, CO",2007-02-28,
"Montrose, CO",2007-02-28,203133.70088521135
"Breckenridge, CO",2007-02-28,394595.74421540136
"Fort Morgan, CO",2007-02-28,
"Steamboat Springs, CO",2007-02-28,337465.50612297066
"Sterling, CO",2007-02-28,116288.14149553342
"Craig, CO",2007-02-28,155262.01555884673
"Denver, CO",2007-03-31,258962.67011209083
"Colorado Springs, CO",2007-03-31,232404.84574839936
"Fort Collins, CO",2007-03-31,257292.9549137408
"Boulder, CO",2007-03-31,320305.6737500672
"Greeley, CO",2007-03-31,214758.31636599876
"Pueblo, CO",2007-03-31,136948.52223818642
"Grand Junction, CO",2007-03-31,240977.3453211958
"Glenwood Springs, CO",2007-03-31,319578.36665536737
"Edwards, CO",2007-03-31,572235.980581347
"Durango, CO",2007-03-31,
"Ca-¦on City, CO",2007-03-31,
"Montrose, CO",2007-03-31,203596.6711970672
"Breckenridge, CO",2007-03-31,395999.5975213261
"Fort Morgan, CO",2007-03-31,
"Steamboat Springs, CO",2007-03-31,340065.14700981945
"Sterling, CO",2007-03-31,116431.6723684342
"Craig, CO",2007-03-31,155600.88987857764
"Denver, CO",2007-04-30,258763.39813392903
"Colorado Springs, CO",2007-04-30,232968.02808227637
"Fort Collins, CO",2007-04-30,257574.1647789379
"Boulder, CO",2007-04-30,321601.2255018337
"Greeley, CO",2007-04-30,213873.7045559025
"Pueblo, CO",2007-04-30,136946.05603358406
"Grand Junction, CO",2007-04-30,244049.85300101637
"Glenwood Springs, CO",2007-04-30,323541.1498659118
"Edwards, CO",2007-04-30,575877.8716451757
"Durango, CO",2007-04-30,
"Ca-¦on City, CO",2007-04-30,
"Montrose, CO",2007-04-30,204448.33197518677
"Breckenridge, CO",2007-04-30,397520.5877185055
"Fort Morgan, CO",2007-04-30,
"Steamboat Springs, CO",2007-04-30,342956.85075277725
"Sterling, CO",2007-04-30,116485.91701164984
"Craig, CO",2007-04-30,156034.54260953018
"Denver, CO",2007-05-31,259057.2197179993
"Colorado Springs, CO",2007-05-31,233709.60438344348
"Fort Collins, CO",2007-05-31,257656.4109742686
"Boulder, CO",2007-05-31,321895.12564336107
"Greeley, CO",2007-05-31,213731.0233439821
"Pueblo, CO",2007-05-31,136810.6808547309
"Grand Junction, CO",2007-05-31,247577.36116344127
"Glenwood Springs, CO",2007-05-31,327818.1857103228
"Edwards, CO",2007-05-31,579914.7433026502
"Durango, CO",2007-05-31,
"Ca-¦on City, CO",2007-05-31,
"Montrose, CO",2007-05-31,205051.17062853972
"Breckenridge, CO",2007-05-31,398579.4346094428
"Fort Morgan, CO",2007-05-31,
"Steamboat Springs, CO",2007-05-31,346484.46006664744
"Sterling, CO",2007-05-31,116381.66341976383
"Craig, CO",2007-05-31,156452.74950022704
"Denver, CO",2007-06-30,259311.57621951427
"Colorado Springs, CO",2007-06-30,234473.28153605512
"Fort Collins, CO",2007-06-30,258052.28365233756
"Boulder, CO",2007-06-30,322191.1817129588
"Greeley, CO",2007-06-30,213774.6719441512
"Pueblo, CO",2007-06-30,136653.72217185612
"Grand Junction, CO",2007-06-30,251053.01982530628
"Glenwood Springs, CO",2007-06-30,331554.8310665601
"Edwards, CO",2007-06-30,584410.7691995936
"Durango, CO",2007-06-30,
"Ca-¦on City, CO",2007-06-30,
"Montrose, CO",2007-06-30,205140.81786029277
"Breckenridge, CO",2007-06-30,399601.1170815229
"Fort Morgan, CO",2007-06-30,
"Steamboat Springs, CO",2007-06-30,350565.81656119047
"Sterling, CO",2007-06-30,116162.8276733975
"Craig, CO",2007-06-30,156930.1685076451
"Denver, CO",2007-07-31,259487.0654940258
"Colorado Springs, CO",2007-07-31,234984.81109304485
"Fort Collins, CO",2007-07-31,258591.8812162424
"Boulder, CO",2007-07-31,321762.8006099624
"Greeley, CO",2007-07-31,214165.64242646637
"Pueblo, CO",2007-07-31,136540.52770300818
"Grand Junction, CO",2007-07-31,254310.93994267363
"Glenwood Springs, CO",2007-07-31,334588.8835532561
"Edwards, CO",2007-07-31,589486.6330666657
"Durango, CO",2007-07-31,
"Ca-¦on City, CO",2007-07-31,
"Montrose, CO",2007-07-31,205165.26472631496
"Breckenridge, CO",2007-07-31,400760.4396775905
"Fort Morgan, CO",2007-07-31,
"Steamboat Springs, CO",2007-07-31,355159.44810937246
"Sterling, CO",2007-07-31,115883.4454648129
"Craig, CO",2007-07-31,157416.94704437023
"Denver, CO",2007-08-31,259440.12271212865
"Colorado Springs, CO",2007-08-31,234882.5674634036
"Fort Collins, CO",2007-08-31,259251.15768119623
"Boulder, CO",2007-08-31,322350.4714113441
"Greeley, CO",2007-08-31,213662.47235502792
"Pueblo, CO",2007-08-31,136443.43834082116
"Grand Junction, CO",2007-08-31,257471.2837209237
"Glenwood Springs, CO",2007-08-31,337246.3234661312
"Edwards, CO",2007-08-31,594115.7439045617
"Durango, CO",2007-08-31,
"Ca-¦on City, CO",2007-08-31,
"Montrose, CO",2007-08-31,205643.2080726512
"Breckenridge, CO",2007-08-31,403231.1154486127
"Fort Morgan, CO",2007-08-31,
"Steamboat Springs, CO",2007-08-31,360630.9616709641
"Sterling, CO",2007-08-31,115839.8439854724
"Craig, CO",2007-08-31,158124.2466118537
"Denver, CO",2007-09-30,258944.1073150388
"Colorado Springs, CO",2007-09-30,234376.89163355905
"Fort Collins, CO",2007-09-30,260083.22272523
"Boulder, CO",2007-09-30,322555.7838474051
"Greeley, CO",2007-09-30,212270.85474870587
"Pueblo, CO",2007-09-30,136404.90074885386
"Grand Junction, CO",2007-09-30,260081.5703816074
"Glenwood Springs, CO",2007-09-30,340617.2257861282
"Edwards, CO",2007-09-30,597834.3265480188
"Durango, CO",2007-09-30,
"Ca-¦on City, CO",2007-09-30,
"Montrose, CO",2007-09-30,206228.67873117316
"Breckenridge, CO",2007-09-30,407206.32889517833
"Fort Morgan, CO",2007-09-30,
"Steamboat Springs, CO",2007-09-30,366604.3085070777
"Sterling, CO",2007-09-30,115928.06555183018
"Craig, CO",2007-09-30,158945.62756823582
"Denver, CO",2007-10-31,258015.2701176784
"Colorado Springs, CO",2007-10-31,233362.85514094372
"Fort Collins, CO",2007-10-31,261004.4518577348
"Boulder, CO",2007-10-31,323028.68376643624
"Greeley, CO",2007-10-31,210806.1938158801
"Pueblo, CO",2007-10-31,136319.1181958714
"Grand Junction, CO",2007-10-31,262377.7274261204
"Glenwood Springs, CO",2007-10-31,344510.3216469286
"Edwards, CO",2007-10-31,601429.6595191234
"Durango, CO",2007-10-31,
"Ca-¦on City, CO",2007-10-31,
"Montrose, CO",2007-10-31,206515.3385490853
"Breckenridge, CO",2007-10-31,412879.8372952131
"Fort Morgan, CO",2007-10-31,
"Steamboat Springs, CO",2007-10-31,373453.832952812
"Sterling, CO",2007-10-31,116137.90721524968
"Craig, CO",2007-10-31,159770.63194822983
"Denver, CO",2007-11-30,256717.60292951544
"Colorado Springs, CO",2007-11-30,232794.6077981053
"Fort Collins, CO",2007-11-30,260978.782111222
"Boulder, CO",2007-11-30,322536.3121612516
"Greeley, CO",2007-11-30,209253.5394459048
"Pueblo, CO",2007-11-30,135999.96653428
"Grand Junction, CO",2007-11-30,264100.0026797054
"Glenwood Springs, CO",2007-11-30,347722.34039739735
"Edwards, CO",2007-11-30,603630.0411646372
"Durango, CO",2007-11-30,
"Ca-¦on City, CO",2007-11-30,
"Montrose, CO",2007-11-30,206601.46314929903
"Breckenridge, CO",2007-11-30,418372.9196481905
"Fort Morgan, CO",2007-11-30,
"Steamboat Springs, CO",2007-11-30,379786.7271763985
"Sterling, CO",2007-11-30,116237.18638114032
"Craig, CO",2007-11-30,160335.6978326635
"Denver, CO",2007-12-31,255059.416449652
"Colorado Springs, CO",2007-12-31,232660.6597806234
"Fort Collins, CO",2007-12-31,260475.68519070736
"Boulder, CO",2007-12-31,322518.5790722816
"Greeley, CO",2007-12-31,208236.0003448492
"Pueblo, CO",2007-12-31,135267.19288564764
"Grand Junction, CO",2007-12-31,265445.2683047638
"Glenwood Springs, CO",2007-12-31,349651.9990291709
"Edwards, CO",2007-12-31,605968.6059797824
"Durango, CO",2007-12-31,
"Ca-¦on City, CO",2007-12-31,
"Montrose, CO",2007-12-31,206624.10629104733
"Breckenridge, CO",2007-12-31,423515.8124813808
"Fort Morgan, CO",2007-12-31,
"Steamboat Springs, CO",2007-12-31,385324.9864313277
"Sterling, CO",2007-12-31,116313.4534237923
"Craig, CO",2007-12-31,160747.96114796613
"Denver, CO",2008-01-31,253546.83391740485
"Colorado Springs, CO",2008-01-31,232327.30253369617
"Fort Collins, CO",2008-01-31,258976.89551052303
"Boulder, CO",2008-01-31,321915.249323718
"Greeley, CO",2008-01-31,205399.9468332793
"Pueblo, CO",2008-01-31,134511.07855163535
"Grand Junction, CO",2008-01-31,266286.51348471415
"Glenwood Springs, CO",2008-01-31,350584.0302597391
"Edwards, CO",2008-01-31,608046.792213791
"Durango, CO",2008-01-31,
"Ca-¦on City, CO",2008-01-31,
"Montrose, CO",2008-01-31,206292.45721963685
"Breckenridge, CO",2008-01-31,427089.4338149615
"Fort Morgan, CO",2008-01-31,
"Steamboat Springs, CO",2008-01-31,390047.1927722683
"Sterling, CO",2008-01-31,116370.63009885792
"Craig, CO",2008-01-31,161088.04346757728
"Denver, CO",2008-02-29,252236.6170870132
"Colorado Springs, CO",2008-02-29,231753.02208288357
"Fort Collins, CO",2008-02-29,257093.94760412085
"Boulder, CO",2008-02-29,322142.15249957115
"Greeley, CO",2008-02-29,202390.51365240972
"Pueblo, CO",2008-02-29,133804.21436149967
"Grand Junction, CO",2008-02-29,266654.30652402126
"Glenwood Springs, CO",2008-02-29,351481.7947303984
"Edwards, CO",2008-02-29,611982.82268531
"Durango, CO",2008-02-29,
"Ca-¦on City, CO",2008-02-29,
"Montrose, CO",2008-02-29,205716.24622137265
"Breckenridge, CO",2008-02-29,429947.8754879338
"Fort Morgan, CO",2008-02-29,
"Steamboat Springs, CO",2008-02-29,394019.0141173199
"Sterling, CO",2008-02-29,116478.82927229196
"Craig, CO",2008-02-29,161405.81130151649
