Metro,Date,ZORI
"Denver, CO",2018-07-31,1540.2602460400276
"Colorado Springs, CO",2018-07-31,1316.1736571828585
"Fort Collins, CO",2018-07-31,1467.2269855836532
"Boulder, CO",2018-07-31,1761.642079347487
"Greeley, CO",2018-07-31,1516.8492978655677
"Pueblo, CO",2018-07-31,929.5888229852012
"Grand Junction, CO",2018-07-31,1036.6599773883502
"Glenwood Springs, CO",2018-07-31,1964.6557474506656
"Edwards, CO",2018-07-31,
"Durango, CO",2018-07-31,
"Ca-¦on City, CO",2018-07-31,
"Montrose, CO",2018-07-31,
"Breckenridge, CO",2018-07-31,
"Steamboat Springs, CO",2018-07-31,
"Sterling, CO",2018-07-31,
"Denver, CO",2018-08-31,1543.640664863531
"Colorado Springs, CO",2018-08-31,1318.9950043195847
"Fort Collins, CO",2018-08-31,1462.00159964969
"Boulder, CO",2018-08-31,1767.2464308978854
"Greeley, CO",2018-08-31,1535.2435645375654
"Pueblo, CO",2018-08-31,943.0384775050876
"Grand Junction, CO",2018-08-31,1047.2633189872918
"Glenwood Springs, CO",2018-08-31,1998.793329395675
"Edwards, CO",2018-08-31,
"Durango, CO",2018-08-31,
"Ca-¦on City, CO",2018-08-31,
"Montrose, CO",2018-08-31,
"Breckenridge, CO",2018-08-31,
"Steamboat Springs, CO",2018-08-31,
"Sterling, CO",2018-08-31,
"Denver, CO",2018-09-30,1539.638851048931
"Colorado Springs, CO",2018-09-30,1320.059540415478
"Fort Collins, CO",2018-09-30,1451.2721307458785
"Boulder, CO",2018-09-30,1763.2914242954637
"Greeley, CO",2018-09-30,1553.9963063903383
"Pueblo, CO",2018-09-30,944.1827475294087
"Grand Junction, CO",2018-09-30,1044.6503632293086
"Glenwood Springs, CO",2018-09-30,1995.8922349072384
"Edwards, CO",2018-09-30,
"Durango, CO",2018-09-30,
"Ca-¦on City, CO",2018-09-30,
"Montrose, CO",2018-09-30,
"Breckenridge, CO",2018-09-30,
"Steamboat Springs, CO",2018-09-30,
"Sterling, CO",2018-09-30,
"Denver, CO",2018-10-31,1534.9587015222407
"Colorado Springs, CO",2018-10-31,1318.3107146750876
"Fort Collins, CO",2018-10-31,1447.1431099141153
"Boulder, CO",2018-10-31,1759.1934193301283
"Greeley, CO",2018-10-31,1557.590156146305
"Pueblo, CO",2018-10-31,938.5521638684208
"Grand Junction, CO",2018-10-31,1048.7042489549262
"Glenwood Springs, CO",2018-10-31,2009.0678942173104
"Edwards, CO",2018-10-31,
"Durango, CO",2018-10-31,
"Ca-¦on City, CO",2018-10-31,
"Montrose, CO",2018-10-31,
"Breckenridge, CO",2018-10-31,
"Steamboat Springs, CO",2018-10-31,
"Sterling, CO",2018-10-31,
"Denver, CO",2018-11-30,1532.3691191089883
"Colorado Springs, CO",2018-11-30,1320.917935191266
"Fort Collins, CO",2018-11-30,1446.2021771524726
"Boulder, CO",2018-11-30,1753.2125137506523
"Greeley, CO",2018-11-30,1546.206940311286
"Pueblo, CO",2018-11-30,936.9038364664588
"Grand Junction, CO",2018-11-30,1047.6713541411918
"Glenwood Springs, CO",2018-11-30,2001.4780100615253
"Edwards, CO",2018-11-30,
"Durango, CO",2018-11-30,
"Ca-¦on City, CO",2018-11-30,
"Montrose, CO",2018-11-30,
"Breckenridge, CO",2018-11-30,
"Steamboat Springs, CO",2018-11-30,
"Sterling, CO",2018-11-30,
"Denver, CO",2018-12-31,1535.700082610092
"Colorado Springs, CO",2018-12-31,1325.6584233771237
"Fort Collins, CO",2018-12-31,1463.867242838045
"Boulder, CO",2018-12-31,1757.283836983553
"Greeley, CO",2018-12-31,1547.8321438597343
"Pueblo, CO",2018-12-31,933.7239197064534
"Grand Junction, CO",2018-12-31,1059.523819769177
"Glenwood Springs, CO",2018-12-31,2064.922872765977
"Edwards, CO",2018-12-31,
"Durango, CO",2018-12-31,
"Ca-¦on City, CO",2018-12-31,
"Montrose, CO",2018-12-31,
"Breckenridge, CO",2018-12-31,
"Steamboat Springs, CO",2018-12-31,
"Sterling, CO",2018-12-31,
"Denver, CO",2019-01-31,1542.383175950356
"Colorado Springs, CO",2019-01-31,1336.858880455573
"Fort Collins, CO",2019-01-31,1474.446962081052
"Boulder, CO",2019-01-31,1767.9310956339546
"Greeley, CO",2019-01-31,1549.8779599721386
"Pueblo, CO",2019-01-31,940.3962441315742
"Grand Junction, CO",2019-01-31,1065.2752697065637
"Glenwood Springs, CO",2019-01-31,2043.976990083073
"Edwards, CO",2019-01-31,
"Durango, CO",2019-01-31,
"Ca-¦on City, CO",2019-01-31,
"Montrose, CO",2019-01-31,
"Breckenridge, CO",2019-01-31,
"Steamboat Springs, CO",2019-01-31,
"Sterling, CO",2019-01-31,
"Denver, CO",2019-02-28,1551.5629348705731
"Colorado Springs, CO",2019-02-28,1349.4531187165578
"Fort Collins, CO",2019-02-28,1493.02657684612
"Boulder, CO",2019-02-28,1783.0632779875823
"Greeley, CO",2019-02-28,1568.1283645779174
"Pueblo, CO",2019-02-28,945.662854211906
"Grand Junction, CO",2019-02-28,1071.8064993235764
"Glenwood Springs, CO",2019-02-28,2061.3394151594844
"Edwards, CO",2019-02-28,
"Durango, CO",2019-02-28,
"Ca-¦on City, CO",2019-02-28,
"Montrose, CO",2019-02-28,
"Breckenridge, CO",2019-02-28,
"Steamboat Springs, CO",2019-02-28,
"Sterling, CO",2019-02-28,
"Denver, CO",2019-03-31,1562.0487552177442
"Colorado Springs, CO",2019-03-31,1360.991890866239
"Fort Collins, CO",2019-03-31,1504.111167967301
"Boulder, CO",2019-03-31,1791.7458614997531
"Greeley, CO",2019-03-31,1579.4294497873325
"Pueblo, CO",2019-03-31,937.0301524180665
"Grand Junction, CO",2019-03-31,1079.4012278948717
"Glenwood Springs, CO",2019-03-31,2044.3221879419505
"Edwards, CO",2019-03-31,
"Durango, CO",2019-03-31,
"Ca-¦on City, CO",2019-03-31,
"Montrose, CO",2019-03-31,
"Breckenridge, CO",2019-03-31,
"Steamboat Springs, CO",2019-03-31,
"Sterling, CO",2019-03-31,
"Denver, CO",2019-04-30,1573.244874176116
"Colorado Springs, CO",2019-04-30,1368.8106354769582
"Fort Collins, CO",2019-04-30,1511.0900976129572
"Boulder, CO",2019-04-30,1800.3708268650548
"Greeley, CO",2019-04-30,1595.397398495548
"Pueblo, CO",2019-04-30,940.0837830383992
"Grand Junction, CO",2019-04-30,1089.7614255194042
"Glenwood Springs, CO",2019-04-30,2092.0298897161038
"Edwards, CO",2019-04-30,
"Durango, CO",2019-04-30,
"Ca-¦on City, CO",2019-04-30,
"Montrose, CO",2019-04-30,
"Breckenridge, CO",2019-04-30,
"Steamboat Springs, CO",2019-04-30,
"Sterling, CO",2019-04-30,
"Denver, CO",2019-05-31,1585.7390208636791
"Colorado Springs, CO",2019-05-31,1373.2922345945465
"Fort Collins, CO",2019-05-31,1513.6975016118445
"Boulder, CO",2019-05-31,1810.3238574005472
"Greeley, CO",2019-05-31,1587.995817590735
"Pueblo, CO",2019-05-31,950.0058827208024
"Grand Junction, CO",2019-05-31,1099.5823672966185
"Glenwood Springs, CO",2019-05-31,2116.161168397788
"Edwards, CO",2019-05-31,
"Durango, CO",2019-05-31,
"Ca-¦on City, CO",2019-05-31,
"Montrose, CO",2019-05-31,
"Breckenridge, CO",2019-05-31,
"Steamboat Springs, CO",2019-05-31,
"Sterling, CO",2019-05-31,
"Denver, CO",2019-06-30,1596.043886644454
"Colorado Springs, CO",2019-06-30,1381.4931894930955
"Fort Collins, CO",2019-06-30,1515.450447229788
"Boulder, CO",2019-06-30,1813.313882146227
"Greeley, CO",2019-06-30,1592.772260627088
"Pueblo, CO",2019-06-30,975.9674485105692
"Grand Junction, CO",2019-06-30,1104.4465551145595
"Glenwood Springs, CO",2019-06-30,2150.635545707666
"Edwards, CO",2019-06-30,
"Durango, CO",2019-06-30,
"Ca-¦on City, CO",2019-06-30,
"Montrose, CO",2019-06-30,
"Breckenridge, CO",2019-06-30,
"Steamboat Springs, CO",2019-06-30,
"Sterling, CO",2019-06-30,
"Denver, CO",2019-07-31,1601.7772224904727
"Colorado Springs, CO",2019-07-31,1384.764735619215
"Fort Collins, CO",2019-07-31,1514.8265687085266
"Boulder, CO",2019-07-31,1818.4163947088443
"Greeley, CO",2019-07-31,1587.5818077351732
"Pueblo, CO",2019-07-31,994.5932570266608
"Grand Junction, CO",2019-07-31,1103.8940473870791
"Glenwood Springs, CO",2019-07-31,2108.7553027170443
"Edwards, CO",2019-07-31,
"Durango, CO",2019-07-31,
"Ca-¦on City, CO",2019-07-31,
"Montrose, CO",2019-07-31,
"Breckenridge, CO",2019-07-31,
"Steamboat Springs, CO",2019-07-31,
"Sterling, CO",2019-07-31,
"Denver, CO",2019-08-31,1599.9265220059633
"Colorado Springs, CO",2019-08-31,1391.1043826348
"Fort Collins, CO",2019-08-31,1508.5358627530754
"Boulder, CO",2019-08-31,1814.911059450743
"Greeley, CO",2019-08-31,1600.5925651494956
"Pueblo, CO",2019-08-31,994.1171345987572
"Grand Junction, CO",2019-08-31,1117.206079005664
"Glenwood Springs, CO",2019-08-31,2114.796921524752
"Edwards, CO",2019-08-31,
"Durango, CO",2019-08-31,
"Ca-¦on City, CO",2019-08-31,
"Montrose, CO",2019-08-31,
"Breckenridge, CO",2019-08-31,
"Steamboat Springs, CO",2019-08-31,
"Sterling, CO",2019-08-31,
"Denver, CO",2019-09-30,1594.4238841895135
"Colorado Springs, CO",2019-09-30,1393.5312195428262
"Fort Collins, CO",2019-09-30,1503.1113060542443
"Boulder, CO",2019-09-30,1815.8085554917525
"Greeley, CO",2019-09-30,1594.347859821093
"Pueblo, CO",2019-09-30,983.2168579090836
"Grand Junction, CO",2019-09-30,1126.5611316628658
"Glenwood Springs, CO",2019-09-30,2118.9642706029717
"Edwards, CO",2019-09-30,
"Durango, CO",2019-09-30,
"Ca-¦on City, CO",2019-09-30,
"Montrose, CO",2019-09-30,
"Breckenridge, CO",2019-09-30,
"Steamboat Springs, CO",2019-09-30,
"Sterling, CO",2019-09-30,
"Denver, CO",2019-10-31,1590.525595834571
"Colorado Springs, CO",2019-10-31,1400.075998547771
"Fort Collins, CO",2019-10-31,1496.2408879929071
"Boulder, CO",2019-10-31,1811.2628154881163
"Greeley, CO",2019-10-31,1595.9036515502266
"Pueblo, CO",2019-10-31,977.694362220556
"Grand Junction, CO",2019-10-31,1125.9625858305235
"Glenwood Springs, CO",2019-10-31,2197.904104380857
"Edwards, CO",2019-10-31,
"Durango, CO",2019-10-31,
"Ca-¦on City, CO",2019-10-31,
"Montrose, CO",2019-10-31,
"Breckenridge, CO",2019-10-31,
"Steamboat Springs, CO",2019-10-31,
"Sterling, CO",2019-10-31,
"Denver, CO",2019-11-30,1590.8601425233198
"Colorado Springs, CO",2019-11-30,1395.8056921696736
"Fort Collins, CO",2019-11-30,1489.448758618823
"Boulder, CO",2019-11-30,1816.823156655612
"Greeley, CO",2019-11-30,1576.708812616604
"Pueblo, CO",2019-11-30,974.034068220717
"Grand Junction, CO",2019-11-30,1117.0412808784806
"Glenwood Springs, CO",2019-11-30,2197.48667188041
"Edwards, CO",2019-11-30,
"Durango, CO",2019-11-30,
"Ca-¦on City, CO",2019-11-30,
"Montrose, CO",2019-11-30,
"Breckenridge, CO",2019-11-30,
"Steamboat Springs, CO",2019-11-30,
"Sterling, CO",2019-11-30,
"Denver, CO",2019-12-31,1593.179152471478
"Colorado Springs, CO",2019-12-31,1400.972267613333
"Fort Collins, CO",2019-12-31,1489.589078002041
"Boulder, CO",2019-12-31,1828.4087621226256
"Greeley, CO",2019-12-31,1581.6589114641847
"Pueblo, CO",2019-12-31,996.3780748363284
"Grand Junction, CO",2019-12-31,1107.3669990867145
"Glenwood Springs, CO",2019-12-31,2227.163040454313
"Edwards, CO",2019-12-31,
"Durango, CO",2019-12-31,
"Ca-¦on City, CO",2019-12-31,
"Montrose, CO",2019-12-31,
"Breckenridge, CO",2019-12-31,
"Steamboat Springs, CO",2019-12-31,
"Sterling, CO",2019-12-31,
"Denver, CO",2020-01-31,1597.7672597275086
"Colorado Springs, CO",2020-01-31,1408.5257202935204
"Fort Collins, CO",2020-01-31,1506.6514415469455
"Boulder, CO",2020-01-31,1832.0320437323403
"Greeley, CO",2020-01-31,1588.756367605437
"Pueblo, CO",2020-01-31,1003.5237962517004
"Grand Junction, CO",2020-01-31,1121.512362639521
"Glenwood Springs, CO",2020-01-31,2193.8169507586445
"Edwards, CO",2020-01-31,
"Durango, CO",2020-01-31,
"Ca-¦on City, CO",2020-01-31,
"Montrose, CO",2020-01-31,
"Breckenridge, CO",2020-01-31,
"Steamboat Springs, CO",2020-01-31,
"Sterling, CO",2020-01-31,
"Denver, CO",2020-02-29,1603.7975586011662
"Colorado Springs, CO",2020-02-29,1423.0269411574382
"Fort Collins, CO",2020-02-29,1524.229068300396
"Boulder, CO",2020-02-29,1839.812041686908
"Greeley, CO",2020-02-29,1613.1252772717037
"Pueblo, CO",2020-02-29,1011.099958927946
"Grand Junction, CO",2020-02-29,1130.34329184617
"Glenwood Springs, CO",2020-02-29,2266.630524840174
"Edwards, CO",2020-02-29,
"Durango, CO",2020-02-29,
"Ca-¦on City, CO",2020-02-29,
"Montrose, CO",2020-02-29,
"Breckenridge, CO",2020-02-29,
"Steamboat Springs, CO",2020-02-29,
"Sterling, CO",2020-02-29,
"Denver, CO",2020-03-31,1610.2326840870007
"Colorado Springs, CO",2020-03-31,1431.3296407372725
"Fort Collins, CO",2020-03-31,1538.576095637983
"Boulder, CO",2020-03-31,1846.179713312236
"Greeley, CO",2020-03-31,1631.6673701790974
"Pueblo, CO",2020-03-31,1011.5187786446796
"Grand Junction, CO",2020-03-31,1122.672812391984
"Glenwood Springs, CO",2020-03-31,2254.740427922597
"Edwards, CO",2020-03-31,
"Durango, CO",2020-03-31,
"Ca-¦on City, CO",2020-03-31,
"Montrose, CO",2020-03-31,
"Breckenridge, CO",2020-03-31,
"Steamboat Springs, CO",2020-03-31,
"Sterling, CO",2020-03-31,
"Denver, CO",2020-04-30,1604.6805777527911
"Colorado Springs, CO",2020-04-30,1432.4751969787335
"Fort Collins, CO",2020-04-30,1537.4151284340542
"Boulder, CO",2020-04-30,1844.1302492815064
"Greeley, CO",2020-04-30,1631.9304801550734
"Pueblo, CO",2020-04-30,1021.690661919691
"Grand Junction, CO",2020-04-30,1118.814832369173
"Glenwood Springs, CO",2020-04-30,2296.946578421449
"Edwards, CO",2020-04-30,
"Durango, CO",2020-04-30,
"Ca-¦on City, CO",2020-04-30,
"Montrose, CO",2020-04-30,
"Breckenridge, CO",2020-04-30,
"Steamboat Springs, CO",2020-04-30,
"Sterling, CO",2020-04-30,
"Denver, CO",2020-05-31,1597.933592022545
"Colorado Springs, CO",2020-05-31,1432.3533932142448
"Fort Collins, CO",2020-05-31,1541.5060482951908
"Boulder, CO",2020-05-31,1835.2635014400284
"Greeley, CO",2020-05-31,1629.694586106138
"Pueblo, CO",2020-05-31,1040.3593893725026
"Grand Junction, CO",2020-05-31,1121.5815862565828
"Glenwood Springs, CO",2020-05-31,2223.118742947643
"Edwards, CO",2020-05-31,
"Durango, CO",2020-05-31,
"Ca-¦on City, CO",2020-05-31,
"Montrose, CO",2020-05-31,
"Breckenridge, CO",2020-05-31,
"Steamboat Springs, CO",2020-05-31,
"Sterling, CO",2020-05-31,
"Denver, CO",2020-06-30,1594.5019053689953
"Colorado Springs, CO",2020-06-30,1439.3279907031751
"Fort Collins, CO",2020-06-30,1541.810732488097
"Boulder, CO",2020-06-30,1832.466334764204
"Greeley, CO",2020-06-30,1619.8252869811529
"Pueblo, CO",2020-06-30,1041.9381305669378
"Grand Junction, CO",2020-06-30,1151.4037604015716
"Glenwood Springs, CO",2020-06-30,2094.8966189119787
"Edwards, CO",2020-06-30,
"Durango, CO",2020-06-30,
"Ca-¦on City, CO",2020-06-30,
"Montrose, CO",2020-06-30,
"Breckenridge, CO",2020-06-30,
"Steamboat Springs, CO",2020-06-30,
"Sterling, CO",2020-06-30,
"Denver, CO",2020-07-31,1603.1511663832107
"Colorado Springs, CO",2020-07-31,1450.5028530464465
"Fort Collins, CO",2020-07-31,1543.668005037929
"Boulder, CO",2020-07-31,1844.908927099424
"Greeley, CO",2020-07-31,1624.7266328028106
"Pueblo, CO",2020-07-31,1051.1652544331323
"Grand Junction, CO",2020-07-31,1163.1457606720517
"Glenwood Springs, CO",2020-07-31,2098.017437133541
"Edwards, CO",2020-07-31,
"Durango, CO",2020-07-31,
"Ca-¦on City, CO",2020-07-31,
"Montrose, CO",2020-07-31,
"Breckenridge, CO",2020-07-31,
"Steamboat Springs, CO",2020-07-31,
"Sterling, CO",2020-07-31,
"Denver, CO",2020-08-31,1607.8422247478911
"Colorado Springs, CO",2020-08-31,1466.4841165563053
"Fort Collins, CO",2020-08-31,1543.536901548119
"Boulder, CO",2020-08-31,1851.8673846791976
"Greeley, CO",2020-08-31,1634.8753646754328
"Pueblo, CO",2020-08-31,1053.644531504525
"Grand Junction, CO",2020-08-31,1178.361779324042
"Glenwood Springs, CO",2020-08-31,2185.283541082515
"Edwards, CO",2020-08-31,
"Durango, CO",2020-08-31,
"Ca-¦on City, CO",2020-08-31,
"Montrose, CO",2020-08-31,
"Breckenridge, CO",2020-08-31,
"Steamboat Springs, CO",2020-08-31,
"Sterling, CO",2020-08-31,
"Denver, CO",2020-09-30,1608.441835142724
"Colorado Springs, CO",2020-09-30,1475.6039631479646
"Fort Collins, CO",2020-09-30,1541.6311516130077
"Boulder, CO",2020-09-30,1856.0559966686744
"Greeley, CO",2020-09-30,1630.6384770946045
"Pueblo, CO",2020-09-30,1074.1638883929131
"Grand Junction, CO",2020-09-30,1184.8671828683716
"Glenwood Springs, CO",2020-09-30,2380.802045972157
"Edwards, CO",2020-09-30,
"Durango, CO",2020-09-30,
"Ca-¦on City, CO",2020-09-30,
"Montrose, CO",2020-09-30,
"Breckenridge, CO",2020-09-30,
"Steamboat Springs, CO",2020-09-30,
"Sterling, CO",2020-09-30,
"Denver, CO",2020-10-31,1601.044549832257
"Colorado Springs, CO",2020-10-31,1483.57712296489
"Fort Collins, CO",2020-10-31,1545.126250154139
"Boulder, CO",2020-10-31,1854.5600390384227
"Greeley, CO",2020-10-31,1633.306645851486
"Pueblo, CO",2020-10-31,1071.384791281415
"Grand Junction, CO",2020-10-31,1200.207879748623
"Glenwood Springs, CO",2020-10-31,2457.5632229656435
"Edwards, CO",2020-10-31,
"Durango, CO",2020-10-31,
"Ca-¦on City, CO",2020-10-31,
"Montrose, CO",2020-10-31,
"Breckenridge, CO",2020-10-31,
"Steamboat Springs, CO",2020-10-31,
"Sterling, CO",2020-10-31,
"Denver, CO",2020-11-30,1593.4847800882262
"Colorado Springs, CO",2020-11-30,1489.0140424892652
"Fort Collins, CO",2020-11-30,1538.6484702344344
"Boulder, CO",2020-11-30,1855.4319914200016
"Greeley, CO",2020-11-30,1633.2681095983453
"Pueblo, CO",2020-11-30,1084.8166835748434
"Grand Junction, CO",2020-11-30,1208.7679891837242
"Glenwood Springs, CO",2020-11-30,2462.9795933494665
"Edwards, CO",2020-11-30,
"Durango, CO",2020-11-30,
"Ca-¦on City, CO",2020-11-30,
"Montrose, CO",2020-11-30,
"Breckenridge, CO",2020-11-30,
"Steamboat Springs, CO",2020-11-30,
"Sterling, CO",2020-11-30,
"Denver, CO",2020-12-31,1588.9537849873886
"Colorado Springs, CO",2020-12-31,1494.7601318132988
"Fort Collins, CO",2020-12-31,1544.5193692720893
"Boulder, CO",2020-12-31,1849.746461738427
"Greeley, CO",2020-12-31,1647.0555648568309
"Pueblo, CO",2020-12-31,1097.872453869921
"Grand Junction, CO",2020-12-31,1214.9366992608605
"Glenwood Springs, CO",2020-12-31,2425.335276242401
"Edwards, CO",2020-12-31,
"Durango, CO",2020-12-31,
"Ca-¦on City, CO",2020-12-31,
"Montrose, CO",2020-12-31,
"Breckenridge, CO",2020-12-31,
"Steamboat Springs, CO",2020-12-31,
"Sterling, CO",2020-12-31,
"Denver, CO",2021-01-31,1593.133960576033
"Colorado Springs, CO",2021-01-31,1500.6772108873524
"Fort Collins, CO",2021-01-31,1539.702074260279
"Boulder, CO",2021-01-31,1863.637164398628
"Greeley, CO",2021-01-31,1664.8953111769424
"Pueblo, CO",2021-01-31,1111.2368828761128
"Grand Junction, CO",2021-01-31,1215.09747185812
"Glenwood Springs, CO",2021-01-31,2458.23517639958
"Edwards, CO",2021-01-31,
"Durango, CO",2021-01-31,1510.8010598339736
"Ca-¦on City, CO",2021-01-31,
"Montrose, CO",2021-01-31,
"Breckenridge, CO",2021-01-31,
"Steamboat Springs, CO",2021-01-31,
"Sterling, CO",2021-01-31,
"Denver, CO",2021-02-28,1604.1317147871343
"Colorado Springs, CO",2021-02-28,1515.6629806476813
"Fort Collins, CO",2021-02-28,1562.8159121758308
"Boulder, CO",2021-02-28,1879.728728122008
"Greeley, CO",2021-02-28,1678.4290620548215
"Pueblo, CO",2021-02-28,1119.9446368194451
"Grand Junction, CO",2021-02-28,1218.1659177437537
"Glenwood Springs, CO",2021-02-28,2528.8491209718995
"Edwards, CO",2021-02-28,
"Durango, CO",2021-02-28,1519.802908162465
"Ca-¦on City, CO",2021-02-28,
"Montrose, CO",2021-02-28,
"Breckenridge, CO",2021-02-28,
"Steamboat Springs, CO",2021-02-28,
"Sterling, CO",2021-02-28,
"Denver, CO",2021-03-31,1619.8952932329491
"Colorado Springs, CO",2021-03-31,1534.6089383338235
"Fort Collins, CO",2021-03-31,1573.3346294110415
"Boulder, CO",2021-03-31,1901.9094203270884
"Greeley, CO",2021-03-31,1694.7755667252625
"Pueblo, CO",2021-03-31,1116.282789070102
"Grand Junction, CO",2021-03-31,1232.4677968790534
"Glenwood Springs, CO",2021-03-31,2634.7708783300745
"Edwards, CO",2021-03-31,
"Durango, CO",2021-03-31,1528.7168932278123
"Ca-¦on City, CO",2021-03-31,
"Montrose, CO",2021-03-31,
"Breckenridge, CO",2021-03-31,
"Steamboat Springs, CO",2021-03-31,
"Sterling, CO",2021-03-31,
"Denver, CO",2021-04-30,1644.1779297946669
"Colorado Springs, CO",2021-04-30,1562.1594080284608
"Fort Collins, CO",2021-04-30,1599.865706598039
"Boulder, CO",2021-04-30,1920.5546271199528
"Greeley, CO",2021-04-30,1700.8385771652056
"Pueblo, CO",2021-04-30,1127.687688586997
"Grand Junction, CO",2021-04-30,1241.189398091385
"Glenwood Springs, CO",2021-04-30,2608.605636545531
"Edwards, CO",2021-04-30,
"Durango, CO",2021-04-30,1583.3279505993514
"Ca-¦on City, CO",2021-04-30,
"Montrose, CO",2021-04-30,
"Breckenridge, CO",2021-04-30,
"Steamboat Springs, CO",2021-04-30,
"Sterling, CO",2021-04-30,
"Denver, CO",2021-05-31,1676.367554875981
"Colorado Springs, CO",2021-05-31,1586.8398657541145
"Fort Collins, CO",2021-05-31,1612.25826702529
"Boulder, CO",2021-05-31,1946.881631660817
"Greeley, CO",2021-05-31,1708.8098439735488
"Pueblo, CO",2021-05-31,1139.4497825904484
"Grand Junction, CO",2021-05-31,1254.4247292262912
"Glenwood Springs, CO",2021-05-31,2558.300763160413
"Edwards, CO",2021-05-31,
"Durango, CO",2021-05-31,1606.2809808139602
"Ca-¦on City, CO",2021-05-31,
"Montrose, CO",2021-05-31,
"Breckenridge, CO",2021-05-31,
"Steamboat Springs, CO",2021-05-31,
"Sterling, CO",2021-05-31,
"Denver, CO",2021-06-30,1714.5575680847826
"Colorado Springs, CO",2021-06-30,1619.6251048189267
"Fort Collins, CO",2021-06-30,1639.8606828282973
"Boulder, CO",2021-06-30,1974.453491749021
"Greeley, CO",2021-06-30,1727.544622853801
"Pueblo, CO",2021-06-30,1153.7181955893925
"Grand Junction, CO",2021-06-30,1271.5219062429592
"Glenwood Springs, CO",2021-06-30,2605.189886212361
"Edwards, CO",2021-06-30,
"Durango, CO",2021-06-30,1640.8280149050493
"Ca-¦on City, CO",2021-06-30,
"Montrose, CO",2021-06-30,
"Breckenridge, CO",2021-06-30,
"Steamboat Springs, CO",2021-06-30,
"Sterling, CO",2021-06-30,
"Denver, CO",2021-07-31,1751.142147543395
"Colorado Springs, CO",2021-07-31,1653.016646903608
"Fort Collins, CO",2021-07-31,1661.621420641938
"Boulder, CO",2021-07-31,2004.534282024404
"Greeley, CO",2021-07-31,1740.8911303372713
"Pueblo, CO",2021-07-31,1171.7057276866894
"Grand Junction, CO",2021-07-31,1307.393218083178
"Glenwood Springs, CO",2021-07-31,2709.532543353325
"Edwards, CO",2021-07-31,
"Durango, CO",2021-07-31,1662.7240165517085
"Ca-¦on City, CO",2021-07-31,
"Montrose, CO",2021-07-31,
"Breckenridge, CO",2021-07-31,
"Steamboat Springs, CO",2021-07-31,
"Sterling, CO",2021-07-31,
"Denver, CO",2021-08-31,1781.434601833125
"Colorado Springs, CO",2021-08-31,1681.6425722603212
"Fort Collins, CO",2021-08-31,1686.2322712578143
"Boulder, CO",2021-08-31,2032.893646552852
"Greeley, CO",2021-08-31,1763.1331631178095
"Pueblo, CO",2021-08-31,1191.5804063157057
"Grand Junction, CO",2021-08-31,1334.1481537275629
"Glenwood Springs, CO",2021-08-31,2864.9849999861844
"Edwards, CO",2021-08-31,
"Durango, CO",2021-08-31,1700.7607170021074
"Ca-¦on City, CO",2021-08-31,
"Montrose, CO",2021-08-31,
"Breckenridge, CO",2021-08-31,
"Steamboat Springs, CO",2021-08-31,
"Sterling, CO",2021-08-31,
"Denver, CO",2021-09-30,1801.46959074835
"Colorado Springs, CO",2021-09-30,1691.7468500954008
"Fort Collins, CO",2021-09-30,1695.9148240350532
"Boulder, CO",2021-09-30,2050.2300502625467
"Greeley, CO",2021-09-30,1770.483144845953
"Pueblo, CO",2021-09-30,1212.6992784948172
"Grand Junction, CO",2021-09-30,1355.2004902010744
"Glenwood Springs, CO",2021-09-30,2861.8522864466568
"Edwards, CO",2021-09-30,
"Durango, CO",2021-09-30,1752.8913565723794
"Ca-¦on City, CO",2021-09-30,
"Montrose, CO",2021-09-30,
"Breckenridge, CO",2021-09-30,
"Steamboat Springs, CO",2021-09-30,
"Sterling, CO",2021-09-30,
"Denver, CO",2021-10-31,1805.1229453177425
"Colorado Springs, CO",2021-10-31,1688.5270380645256
"Fort Collins, CO",2021-10-31,1713.6139901696804
"Boulder, CO",2021-10-31,2052.5025746424344
"Greeley, CO",2021-10-31,1789.266939896142
"Pueblo, CO",2021-10-31,1218.4246677587314
"Grand Junction, CO",2021-10-31,1343.0565313517804
"Glenwood Springs, CO",2021-10-31,2847.152939026824
"Edwards, CO",2021-10-31,
"Durango, CO",2021-10-31,1754.7779864043482
"Ca-¦on City, CO",2021-10-31,
"Montrose, CO",2021-10-31,
"Breckenridge, CO",2021-10-31,
"Steamboat Springs, CO",2021-10-31,
"Sterling, CO",2021-10-31,
"Denver, CO",2021-11-30,1804.1227589449625
"Colorado Springs, CO",2021-11-30,1688.4254616106084
"Fort Collins, CO",2021-11-30,1713.5566669164048
"Boulder, CO",2021-11-30,2044.3404737785695
"Greeley, CO",2021-11-30,1799.2056415367838
"Pueblo, CO",2021-11-30,1226.742174544638
"Grand Junction, CO",2021-11-30,1362.657310527513
"Glenwood Springs, CO",2021-11-30,2763.124746643044
"Edwards, CO",2021-11-30,
"Durango, CO",2021-11-30,1735.2962534885633
"Ca-¦on City, CO",2021-11-30,
"Montrose, CO",2021-11-30,
"Breckenridge, CO",2021-11-30,
"Steamboat Springs, CO",2021-11-30,
"Sterling, CO",2021-11-30,
"Denver, CO",2021-12-31,1802.87585520054
"Colorado Springs, CO",2021-12-31,1693.613557770749
"Fort Collins, CO",2021-12-31,1719.236184564926
"Boulder, CO",2021-12-31,2053.0117341399964
"Greeley, CO",2021-12-31,1811.527608598894
