Metro,Date,ZORI
"Breckenridge, CO",2015-10-31,
"Steamboat Springs, CO",2015-10-31,
"Sterling, CO",2015-10-31,
"Denver, CO",2015-11-30,1364.8323589708275
"Colorado Springs, CO",2015-11-30,1103.5256242223504
"Fort Collins, CO",2015-11-30,1304.7662776799762
"Boulder, CO",2015-11-30,1567.4810596345314
"Greeley, CO",2015-11-30,1351.4355562548817
"Pueblo, CO",2015-11-30,802.7104541038824
"Grand Junction, CO",2015-11-30,905.0491820775804
"Glenwood Springs, CO",2015-11-30,
"Edwards, CO",2015-11-30,
"Durango, CO",2015-11-30,
"Ca-¦on City, CO",2015-11-30,
"Montrose, CO",2015-11-30,
"Breckenridge, CO",2015-11-30,
"Steamboat Springs, CO",2015-11-30,
"Sterling, CO",2015-11-30,
"Denver, CO",2015-12-31,1368.6839965050144
"Colorado Springs, CO",2015-12-31,1105.525520709017
"Fort Collins, CO",2015-12-31,1309.3643183283068
"Boulder, CO",2015-12-31,1564.9751143867122
"Greeley, CO",2015-12-31,1353.1314267634118
"Pueblo, CO",2015-12-31,796.2413394571187
"Grand Junction, CO",2015-12-31,897.7201805143654
"Glenwood Springs, CO",2015-12-31,
"Edwards, CO",2015-12-31,
"Durango, CO",2015-12-31,
"Ca-¦on City, CO",2015-12-31,
"Montrose, CO",2015-12-31,
"Breckenridge, CO",2015-12-31,
"Steamboat Springs, CO",2015-12-31,
"Sterling, CO",2015-12-31,
"Denver, CO",2016-01-31,1376.3827402694171
"Colorado Springs, CO",2016-01-31,1106.660792331868
"Fort Collins, CO",2016-01-31,1315.798695020145
"Boulder, CO",2016-01-31,1575.5881453469967
"Greeley, CO",2016-01-31,1358.4399204886056
"Pueblo, CO",2016-01-31,794.7717551571283
"Grand Junction, CO",2016-01-31,896.711579626316
"Glenwood Springs, CO",2016-01-31,
"Edwards, CO",2016-01-31,
"Durango, CO",2016-01-31,
"Ca-¦on City, CO",2016-01-31,
"Montrose, CO",2016-01-31,
"Breckenridge, CO",2016-01-31,
"Steamboat Springs, CO",2016-01-31,
"Sterling, CO",2016-01-31,
"Denver, CO",2016-02-29,1384.0747333996055
"Colorado Springs, CO",2016-02-29,1110.6709691071687
"Fort Collins, CO",2016-02-29,1331.2536818508552
"Boulder, CO",2016-02-29,1583.3441533310452
"Greeley, CO",2016-02-29,1356.3240042223747
"Pueblo, CO",2016-02-29,793.0444016205699
"Grand Junction, CO",2016-02-29,894.5385638101418
"Glenwood Springs, CO",2016-02-29,
"Edwards, CO",2016-02-29,
"Durango, CO",2016-02-29,
"Ca-¦on City, CO",2016-02-29,
"Montrose, CO",2016-02-29,
"Breckenridge, CO",2016-02-29,
"Steamboat Springs, CO",2016-02-29,
"Sterling, CO",2016-02-29,
"Denver, CO",2016-03-31,1390.9868483080504
"Colorado Springs, CO",2016-03-31,1119.241296962027
"Fort Collins, CO",2016-03-31,1349.5133913394188
"Boulder, CO",2016-03-31,1610.1859912779871
"Greeley, CO",2016-03-31,1347.5911243145129
"Pueblo, CO",2016-03-31,796.9610358702906
"Grand Junction, CO",2016-03-31,906.145223811316
"Glenwood Springs, CO",2016-03-31,1562.653304063872
"Edwards, CO",2016-03-31,
"Durango, CO",2016-03-31,
"Ca-¦on City, CO",2016-03-31,
"Montrose, CO",2016-03-31,
"Breckenridge, CO",2016-03-31,
"Steamboat Springs, CO",2016-03-31,
"Sterling, CO",2016-03-31,
"Denver, CO",2016-04-30,1395.0913514925865
"Colorado Springs, CO",2016-04-30,1134.42195161246
"Fort Collins, CO",2016-04-30,1353.775379700567
"Boulder, CO",2016-04-30,1618.7053496696342
"Greeley, CO",2016-04-30,1364.3537070563953
"Pueblo, CO",2016-04-30,806.8693727634535
"Grand Junction, CO",2016-04-30,914.5284970615808
"Glenwood Springs, CO",2016-04-30,1591.317336237675
"Edwards, CO",2016-04-30,
"Durango, CO",2016-04-30,
"Ca-¦on City, CO",2016-04-30,
"Montrose, CO",2016-04-30,
"Breckenridge, CO",2016-04-30,
"Steamboat Springs, CO",2016-04-30,
"Sterling, CO",2016-04-30,
"Denver, CO",2016-05-31,1408.0103481092076
"Colorado Springs, CO",2016-05-31,1143.998534464739
"Fort Collins, CO",2016-05-31,1365.9813124540278
"Boulder, CO",2016-05-31,1626.3884389467803
"Greeley, CO",2016-05-31,1375.68240398638
"Pueblo, CO",2016-05-31,821.8881361450035
"Grand Junction, CO",2016-05-31,923.4903243327566
"Glenwood Springs, CO",2016-05-31,1665.6707729033944
"Edwards, CO",2016-05-31,
